text,sentiment
"I love this product!",1
"This is the worst movie I've ever seen.",0
"Service was incredibly slow...",0
"Great food and friendly staff!",1
"Such a beautiful and inspiring book.",1
"Excellent product, would highly recommend!",1
"I didn't like the taste of this at all.",0
"Outstanding service at this restaurant!",1
"I had a terrible experience with customer service.",0
"The movie was very boring and slow-paced.",0
"Really happy with this purchase!",1
"The writing in this book is absolutely terrible.",0
"Amazing food, I'll definitely be coming back!",1
"This product broke after just a few uses.",0
"Loved the plot of the movie, very engaging!",1
"The customer service was really rude.",0
"Great taste and good value for money.",1
"I found this book really confusing and hard to follow.",0
"Fantastic meal, best I've had in a long time!",1
"The product is not worth the price.",0
"I thoroughly enjoyed the movie, a must-watch!",1
"Waited for ages but the food never arrived.",0
"This is my favorite snack, delicious!",1
"This book was a complete waste of time.",0
"Stellar service, very quick and helpful.",1
"The product did not match the description.",0
"I loved every minute of the movie.",1
"The restaurant was dirty and the food was cold.",0
"I love this brand, always high quality.",1
"The book had no plot, very disappointing.",0
"Fast shipping and good customer service.",1
"Completely dissatisfied with this product.",0
"The movie kept me on the edge of my seat, fantastic!",1
"The food was undercooked and tasteless.",0
"Great value for money, excellent product.",1
"The book was poorly written with many errors.",0
"Delivered on time and customer service was very responsive.",1
"Product is cheaply made and broke easily.",0
"The movie was brilliantly directed and acted.",1
"I had food poisoning after eating at this restaurant.",0
"The product arrived in perfect condition, very pleased.",1
"I couldn't finish the book, it was too boring.",0
"Efficient and friendly service, very satisfied.",1
"The product is not as good as it was advertised.",0
"Fantastic movie, would recommend it to anyone!",1
"The food tasted old and was not fresh.",0
"I am very impressed with the quality of the product.",1
"The book was filled with clichés.",0
"Delivery was quick and the product arrived undamaged.",1
"I regret buying this product.",0
"One of the best movies I've seen recently.",1
"Waited too long for the food to arrive.",0
"Excellent product, worth every penny.",1
"The characters in the book were very poorly developed.",0
"Quick and efficient service.",1
"Extremely disappointed with this product.",0
"I loved the movie, it was a visual masterpiece.",1
"The food was overpriced for what you get.",0
"Great product, I highly recommend it.",1
"I didn't find the book engaging at all.",0
"Fast and efficient service, very happy.",1
"The product is not fit for purpose.",0
"The movie had an amazing and unexpected plot twist.",1
"I was served cold and unappetizing food.",0
"The product exceeded my expectations.",1
"I found the book very predictable.",0
"Customer service was friendly and helpful.",1
"This product does not work as advertised.",0
"The movie was gripping and emotionally charged.",1
"The food was bland and uninspiring.",0
"Superb product, great quality.",1
"The book was hard to follow and very convoluted.",0
"Excellent customer service, quick to respond.",1
"The product is very poorly made.",0
"The movie was a roller coaster of emotions.",1
"I found a hair in my food.",0
"The product is reliable and durable.",1
"The book didn't live up to the hype.",0
"Fast delivery and excellent customer service.",1
"The product is a total rip-off.",0
"The movie was a true work of art.",1
"The food was not worth the price.",0
"High-quality product, very satisfied.",1
"I didn't like the book, the ending was very abrupt.",0
"Quick delivery and friendly customer service.",1
"The product is not user-friendly.",0
"The movie was a perfect blend of action and drama.",1
"The food was too spicy and not edible.",0
"The product is sturdy and well made.",1
"The book was a drag, I wouldn't recommend.",0
"Customer service was very accommodating.",1
"The product was delivered late and was damaged.",0
"The movie was breathtakingly beautiful.",1
"The food was stale and unappetizing.",0
"Great product, really meets my needs.",1
"The book was full of grammatical errors.",0
"Fast shipping, product arrived in great condition.",1
"The product did not last long, broke within a week.",0
"The movie was emotionally captivating and deeply moving.",1
"The food was cold and tasteless.",0
"Love the product, it's exactly what I needed.",1
"The book was full of plot holes and inconsistencies.",0
"Great customer service, very responsive.",1
"The product is not worth the high price.",0
"The movie had an engaging and intricate storyline.",1
"The food was burnt and inedible.",0
"The product is well designed and sturdy.",1
"The book was a disappointment, I expected more.",0
"Excellent service, prompt and efficient.",1
"Disappointed with the quality of the product.",0
"I really enjoyed the movie, it was very entertaining.",1
"The food was raw, a very unpleasant experience.",0
"Great product, I'm very satisfied with my purchase.",1
"I felt the book was quite mediocre.",0
"Customer service was prompt and solved my issue.",1
"The product did not meet my expectations.",0
"The movie was engaging from start to finish.",1
"The food was overcooked and lacked flavor.",0
"I'm happy with the product, it works great.",1
"The book was not as good as the reviews suggested.",0
"Amazing service, they went above and beyond.",1
"The product was faulty upon delivery.",0
"The movie was suspenseful and thrilling.",1
"The food was too greasy.",0
"Fantastic product, I would definitely recommend it.",1
"I thought the book was poorly structured.",0
"Excellent customer service, very professional.",1
"Very dissatisfied with the product.",0
"The movie was well directed and had great cinematography.",1
"The food was too salty.",0
"I am delighted with the product.",1
"The book lacked depth and character development.",0
"Great service, delivery was on time.",1
"The product is overpriced for its quality.",0
"The movie was a perfect blend of humor and drama.",1
"The food had a strange aftertaste.",0
"High-quality product, well worth the price.",1
"The book was tedious and uninspiring.",0
"Prompt delivery and product in good condition.",1
"The product did not live up to its description.",0
"The movie had a captivating storyline.",1
"The food was not fresh.",0
"The product is reliable and efficient.",1
"I found the book overly long and boring.",0
"Outstanding customer service, very satisfied.",1
"The product was damaged when it arrived.",0
"The movie was creative and thought-provoking.",1
"The food was too cold.",0
"Superb product, it's exactly what I was looking for.",1
"The book was too simplistic and predictable.",0
"Fast service and polite customer care.",1
"The product stopped working after a short time.",0
"The movie was a great blend of comedy and action.",1
"The food was undercooked.",0
"Excellent product, I'm really satisfied.",1
"The book was confusing and hard to follow.",0
"Great customer service, really helpful.",1
"The product didn't work as expected.",0
"The movie was beautifully shot and directed.",1
"The food was overpriced.",0
"The product is well made and durable.",1
"I thought the book was overly complex.",0
"Quick delivery and good customer service.",1
"The product was not worth the money.",0
"The movie had an excellent script and acting.",1
"The food was poorly presented and unappetizing.",0
"The product is well designed and easy to use.",1
"The book was disappointing and unoriginal.",0
"Excellent service, very fast delivery.",1
"The product didn't meet my expectations.",0
"The movie had a powerful and moving storyline.",1
"The food was stale.",0
"Fantastic product, I would recommend it to anyone.",1
"I didn't enjoy the book, it lacked depth.",0
"Fast and efficient service.",1
"The product was very disappointing.",0
"The movie had great special effects.",1
"The food lacked flavor.",0
"The product exceeded my expectations.",1
"I found the book to be dull and repetitive.",0
"Great customer service, very attentive.",1
"The product was not as described.",0
"The movie was very captivating and interesting.",1
"The food was not served hot.",0
"Great product, it works as described.",1
"The book had a weak plot.",0
"Prompt delivery and product was as described.",1
"I was not satisfied with the product.",0
"The movie was incredibly emotional and moving.",1
"The food was not cooked well.",0
"Fantastic product, great value for money.",1
"I thought the book lacked a good storyline.",0
"Customer service was efficient and helpful.",1
"The product didn't perform as advertised.",0
"The movie had great performances by the cast.",1
"The food was too spicy and not enjoyable.",0
"The product is easy to use and reliable.",1
"The book was overrated and underwhelming.",0
"Superb service, I'm very impressed.",1
"I'm extremely disappointed with the product.",0
"The movie had excellent plot development.",1
"The food was too rich and heavy.",0
"Great product, delivers what it promises.",1
"The book was poorly paced and uninteresting.",0
"Outstanding customer service, very attentive.",1
"The product arrived damaged and unusable.",0
"The movie was emotionally powerful.",1
"The food was poorly seasoned.",0
"Quality product, works better than advertised.",1
"The book was a bore, couldn't get through it.",0
"Quick delivery and excellent customer service.",1
"The product is overpriced for its quality.",0
"The movie was a captivating watch.",1
"The food was not at the right temperature.",0
"Superb product, worth every penny.",1
"The book was pretentious and hard to follow.",0
"Excellent service, very professional.",1
"The product doesn't meet the standards.",0
"The movie was a delight to watch.",1
"The food was bland and tasteless.",0
"Fantastic product, great value for money.",1
"The book was long-winded and dull.",0
"Customer service was very helpful and prompt.",1
"The product did not work as expected.",0
"The movie was beautifully crafted and well-acted.",1
"The food was overcooked and dry.",0
"I am highly satisfied with the product.",1
"The book had no originality or creativity.",0
"Delivery was fast, great service.",1
"The product is not worth its price.",0
"The movie was intriguing and thought-provoking.",1
"The food was too sweet for my liking.",0
